,Title,Published_date,Views,Likes,Comments,Dislikes,Month
0,Courses You Can Take To Get Into Data Analytics,2023-09-02,15274,353,63,0,Sep
1,Solving a Real SQL Interview Problem | Job Vacancies SQL Query,2023-08-25,27759,1074,109,0,Aug
2,Python Bootcamp for Beginners | Python Course | Live Training,2023-08-20,3797,154,28,0,Aug
3,SQL Data Analytics Project (PART 3) | Data Analyst Portfolio Project,2023-08-19,6925,237,33,0,Aug
4,SQL Data Analytics Project (PART 2) | Data Analyst Portfolio Project,2023-08-06,11067,347,45,0,Aug
5,SQL Data Analytics Project (PART 1) | Data Analyst Portfolio Project,2023-08-04,42431,1501,132,0,Aug
6,Learn SQL from me | Live SQL Training | SQL Bootcamp,2023-05-25,22223,622,179,0,May
7,Learn Python here | Learn Python Programming here,2023-05-16,14530,268,23,0,May
8,Solving a Complex SQL Interview problem | Practice SQL Queries,2023-03-21,36489,1023,105,0,Mar
9,REAL SQL Interview Problem | Hierarchical data in SQL,2023-03-14,20144,770,63,0,Mar
10,Complete guide to Database Normalization in SQL,2023-03-07,57580,2577,243,0,Mar
11,SQL Live class on Lighthall | Learn SQL from Basic to Advance in SQL Bootcamp,2023-01-26,12439,250,154,0,Jan
12,How to learn SQL for free | Roadmap to learning SQL,2022-12-28,423502,13079,399,0,Dec
13,Solving an SQL Interview Problem,2022-12-18,36374,1473,18,0,Dec
14,Solving SQL Interview Query | Find Tree Node type using SQL,2022-12-12,20732,889,52,0,Dec
15,Solving SQL Interview Query for Data Analyst asked by a Product based company,2022-12-07,409381,9467,270,0,Dec
16,Solving a tricky SQL Interview Query,2022-11-21,44314,1525,123,0,Nov
17,SQL Interview Query for Data Analyst,2022-11-14,49276,1774,68,0,Nov
18,Solving a Complex SQL Interview Problem | Find the Most Modified File Extension,2022-10-31,25597,988,76,0,Oct
19,SQL JOINS Interview Question | What does different SQL Joins return?,2022-10-24,250474,7768,385,0,Oct
20,Google SQL Interview Problem | Solving SQL Interview Query,2022-10-10,33977,1276,128,0,Oct
21,SQL Interview Problem asked by Product Based Company | Solving SQL Interview Query,2022-10-05,55291,2109,135,0,Oct
22,How to become a Data Analyst FASTER ?,2022-09-30,95048,4020,190,0,Sep
23,Tricky SQL Interview Query | Practice Solving SQL Interview Queries,2022-09-22,28362,869,99,0,Sep
24,"Solving SQL Interview Query using a ""VERY IMPORTANT SQL concept""",2022-09-19,96196,2343,177,0,Sep
25,Solving SQL Interview Query | SQL Problem by Service based company,2022-09-16,29565,1101,73,0,Sep
26,Practice SQL Interview Query | Big 4 Interview Question,2022-09-12,82124,3011,172,0,Sep
27,Solving SQL Interview Query | Ungroup given input data | FAANG Interview Query,2022-09-08,35009,1049,81,0,Sep
28,How to remove Duplicate Data in SQL | SQL Query to remove duplicate,2022-09-02,226084,5568,234,0,Sep
29,Solving Complex SQL Query from HackerRank | SQL Interview Query,2022-08-10,59899,1519,144,0,Aug
30,Data Analyst vs Business Analyst | What should you choose?,2022-07-26,27297,1202,110,0,Jul
31,Materialized View in SQL | Faster SQL Queries using Materialized Views,2022-07-07,62231,1681,171,0,Jul
32,Learn SQL the right way | SQL Live Training | Learn SQL from me,2022-06-28,30086,590,189,0,Jun
33,SQL Interview Assignment Queries | REAL SQL Assignment given in Interview Part 2 (Query Solution),2022-06-21,23091,570,49,0,Jun
34,SQL Interview Assignment Queries | REAL SQL Assignment given in Interview Part 1 (Problem Statement),2022-06-17,18990,569,80,0,Jun
35,REAL SQL Interview Question | Complex SQL Interview Query and Solution,2022-06-03,56798,1397,112,0,Jun
36,Top 10 Tips for JOB Interview | Tips for Job Interview,2022-05-25,14657,574,45,0,May
37,Solving SQL Query | Rows to Column in SQL,2022-05-18,116169,3044,160,0,May
38,Procedure Tutorial in SQL | SQL Stored Procedure | Procedure in SQL,2022-05-01,169932,3358,180,0,May
39,my Live SQL Course Announcement #shorts,2022-04-05,20000,872,85,0,Apr
40,Best Online SQL Course to practically learn and practice SQL,2022-03-30,29502,548,118,0,Mar
41,Recursive SQL Queries Tutorial | Learn to write SQL Queries using Recursion,2022-03-23,130249,3429,250,0,Mar
42,Solving SQL Interview Queries | Tricky SQL Interview Queries,2022-03-16,204215,5213,407,0,Mar
43,How to learn SQL | Step by Step Guide on how to learn SQL,2022-03-02,129614,4622,340,0,Mar
44,ANSI vs Non ANSI Joins in SQL | SQL Query Writing using ANSI and Non ANSI method,2022-02-23,30592,682,84,0,Feb
45,SQL Views Tutorial | VIEWS in SQL Complete Tutorial,2022-02-15,173998,3868,334,0,Feb
46,Practice Writing SQL Queries on StrataScratch | How to Solve SQL Queries,2022-02-08,129888,3311,187,0,Feb
47,Subquery in SQL | Correlated Subquery + Complete SQL Subqueries Tutorial,2022-02-01,704494,16387,995,0,Feb
48,SQL JOINS Tutorial for beginners | Practice SQL Queries using JOINS - Part 2,2022-01-14,210389,6956,494,0,Jan
49,SQL JOINS Tutorial for beginners | Practice SQL Queries using JOINS - Part 1,2022-01-06,587569,14362,933,0,Jan
